task_id,City,T_clear,E_clear,T_dark,E_dark,Delta_T,Delta_E,latitude,hdd,cdd,ghi,t_ave,C_Total_GJ,C_Day_GJ,C_Night_GJ,H_Total_GJ,H_Day_GJ,H_Night_GJ,Total_HVAC_GJ,Annual_DNI_kWhm2,Annual_DHI_kWhm2,t_avg,t_min,t_max,avg_rh,avg_ws,shgc_clear,shgc_dark,Delta_SHGC,Ave_SHGC
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.6_ec0.8_td0.2_ed0.8,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.6,0.8,0.2,0.8,0.4,0,-27.45,543.9,4300,1832.31,21.55,307.3691,213.3226,94.0465,17.276,4.3616,12.9144,324.6451,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.652613,0.329176,0.323437,0.4908945
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.6_ec0.2_td0.4_ed0.6,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.6,0.2,0.4,0.6,0.2,0.4,-27.45,543.9,4300,1832.31,21.55,333.5342,231.2617,102.2725,14.2963,3.62,10.6762,347.8305,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.664027,0.495226,0.168801,0.5796265
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.9_ec0.1_td0.1_ed0.9,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.9,0.1,0.1,0.9,0.8,0.8,-27.45,543.9,4300,1832.31,21.55,294.9,204.7969,90.103,14.6583,3.6933,10.965,309.5583,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.901883,0.245726,0.656157,0.5738045
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.1_ec0.1_td0.1_ed0.1,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.1,0.1,0.1,0.1,0,0,-27.45,543.9,4300,1832.31,21.55,322.3734,227.4651,94.9083,16.9299,4.1156,12.8143,339.3033,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.285257,0.285257,0,0.285257
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.3_ec0.3_td0.3_ed0.8,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.3,0.3,0.3,0.8,0,0.5,-27.45,543.9,4300,1832.31,21.55,317.8955,220.2432,97.6523,16.6883,4.1618,12.5265,334.5838,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.427877,0.409899,0.017978,0.418888
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.8_ec0.6_td0.7_ed0.9,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.8,0.6,0.7,0.9,0.1,0.3,-27.45,543.9,4300,1832.31,21.55,363.2966,251.0807,112.2158,13.4365,3.4868,9.9497,376.7331,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.818839,0.734382,0.084457,0.7766105
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.6_ec0.3_td0.3_ed0.3,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.6,0.3,0.3,0.3,0.3,0,-27.45,543.9,4300,1832.31,21.55,331.9214,231.5148,100.4066,14.807,3.7557,11.0514,346.7284,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.660822,0.427877,0.232945,0.5443495
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.9_ec0.9_td0.1_ed0.9,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.9,0.9,0.1,0.9,0.8,0,-27.45,543.9,4300,1832.31,21.55,294.8883,204.7886,90.0997,16.8786,4.2226,12.656,311.7669,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.901537,0.245726,0.655811,0.5736315
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.7_ec0.2_td0.2_ed0.6,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.7,0.2,0.2,0.6,0.5,0.4,-27.45,543.9,4300,1832.31,21.55,312.5859,217.5969,94.9891,14.9111,3.7429,11.1683,327.497,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.741935,0.33689,0.405045,0.5394125
ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY_tc0.6_ec0.4_td0.4_ed0.7,ARG_Chaco_Resistencia.Intl.AP_871550_ArgTMY,0.6,0.4,0.4,0.7,0.2,0.3,-27.45,543.9,4300,1832.31,21.55,331.3443,229.5355,101.8088,14.9971,3.813,11.1842,346.3414,1739.77,810.96,21.55,-3.1,39.2,72.76,2.91,0.659248,0.492892,0.166356,0.57607
